商品A,商品B,出现次数,支持度
休闲食品,婴童用品,183,4.826860513384884e-06
冲调食品,豆制品,100,4.826860513384884e-06
保健品,非处方药,18,4.826860513384884e-06
冷藏类,非处方药,3,4.826860513384884e-06
烟酒水饮,非处方药,21,4.826860513384884e-06
个人清洁,婴童食品,44,4.826860513384884e-06
水果类,烟酒水饮,19,4.826860513384884e-06
冷冻甜品,冷冻类,197,4.826860513384884e-06
卫生用品,婴童食品,41,4.826860513384884e-06
个人清洁,蛋类,158,4.826860513384884e-06
休闲食品,蛋类,601,4.826860513384884e-06
家居用品,蛋类,1487,4.826860513384884e-06
文体用品,蛋类,24,4.826860513384884e-06
文体用品,豆制品,10,4.826860513384884e-06
南北干货,蛋类,125,4.826860513384884e-06
个人清洁,保健品,91,4.826860513384884e-06
家用清洁,蛋类,109,4.826860513384884e-06
冷冻类,家用电器,28,4.826860513384884e-06
家用清洁,豆制品,83,4.826860513384884e-06
卫生用品,蛋类,107,4.826860513384884e-06
冷冻类,蔬果类,82,4.826860513384884e-06
家居用品,蔬果类,271,4.826860513384884e-06
冷藏乳制品,婴童食品,115,4.826860513384884e-06
婴童食品,家用电器,3,4.826860513384884e-06
个人清洁,蔬果类,15,4.826860513384884e-06
休闲食品,蔬果类,106,4.826860513384884e-06
保健品,蔬果类,2,4.826860513384884e-06
冷冻甜品,服饰箱包,26,4.826860513384884e-06
个人清洁,水产,38,4.826860513384884e-06
南北干货,水产,65,4.826860513384884e-06
冷藏乳制品,水产,114,4.826860513384884e-06
家用清洁,水产,17,4.826860513384884e-06
冷冻类,家用纺织,80,4.826860513384884e-06
冷藏类,水产,110,4.826860513384884e-06
水产,豆制品,38,4.826860513384884e-06
冲调食品,水产,50,4.826860513384884e-06
保健品,文体用品,16,4.826860513384884e-06
水产,蔬果类,22,4.826860513384884e-06
保健品,家用纺织,19,4.826860513384884e-06
冷冻甜品,婴童食品,12,4.826860513384884e-06
冷藏类,婴童食品,66,4.826860513384884e-06
冷藏乳制品,医疗用品,17,4.826860513384884e-06
家用纺织,水产,4,4.826860513384884e-06
服饰箱包,水产,6,4.826860513384884e-06
休闲食品,非处方药,21,4.826860513384884e-06
冲调食品,蛋类,130,4.826860513384884e-06
婴童食品,家用清洁,24,4.826860513384884e-06
保健品,冷冻类,31,4.826860513384884e-06
婴童用品,家用电器,5,4.826860513384884e-06
婴童食品,家用纺织,13,4.826860513384884e-06
婴童用品,粮油调味,117,4.826860513384884e-06
冷冻甜品,豆制品,70,4.826860513384884e-06
家用纺织,豆制品,13,4.826860513384884e-06
服饰箱包,豆制品,8,4.826860513384884e-06
婴童用品,家用清洁,127,4.826860513384884e-06
保健品,豆制品,17,4.826860513384884e-06
保健品,婴童用品,4,4.826860513384884e-06
保健品,服饰箱包,18,4.826860513384884e-06
婴童用品,文体用品,37,4.826860513384884e-06
家用电器,豆制品,2,4.826860513384884e-06
冷藏乳制品,婴童用品,72,4.826860513384884e-06
南北干货,文体用品,62,4.826860513384884e-06
冷冻类,服饰箱包,42,4.826860513384884e-06
休闲食品,生肉,15,4.826860513384884e-06
冷藏乳制品,生肉,10,4.826860513384884e-06
冷藏类,生肉,10,4.826860513384884e-06
个人清洁,豆制品,89,4.826860513384884e-06
蛋类,豆制品,93,4.826860513384884e-06
冷藏类,婴童用品,30,4.826860513384884e-06
冷冻甜品,蛋类,53,4.826860513384884e-06
保健品,南北干货,29,4.826860513384884e-06
保健品,蛋类,8,4.826860513384884e-06
婴童食品,服饰箱包,4,4.826860513384884e-06
冷冻甜品,婴童用品,15,4.826860513384884e-06
卫生用品,豆制品,62,4.826860513384884e-06
冷冻甜品,家用电器,12,4.826860513384884e-06
家居用品,非处方药,25,4.826860513384884e-06
粮油调味,非处方药,8,4.826860513384884e-06
冲调食品,蔬果类,23,4.826860513384884e-06
家用清洁,蔬果类,12,4.826860513384884e-06
卫生用品,非处方药,4,4.826860513384884e-06
家用清洁,非处方药,4,4.826860513384884e-06
医疗用品,文体用品,5,4.826860513384884e-06
文体用品,水产,5,4.826860513384884e-06
婴童食品,豆制品,1,4.826860513384884e-06
